species	Order	sp	sample_no	Depth	Delta15N	Delta13C	ratio.C.N	Z.dens	C.dens	chla	chlb	chlc	chlca	Host.prot.cont	Tot.Lip.cont	In.cont	Sk.dens
Millepora_platyphylla	Anthoathecata	Mp	MP010	5.8	4.484	-12.46936667	12.55463695	124800000	16400000	564.28	267.7775	222.675	0.39461792	80580.41312	2.1	0	1.354897479
Millepora_tenera	Anthoathecata	Mt	MT001	5	2.685	-15.60580169	19.23557619	167864406.8	69423728.81	397.0644068	99.07966102	118.4101695	0.298214011	314794.7856	1.271186441	0	1.665985836
Millepora_tenera	Anthoathecata	Mt	MT002	5.8	2.758	-16.6538518	16.50631066	241066666.7	77511111.11	1913.748889	843.6044444	567.2955556	0.296431553	225780.2573	2.177777778	0	1.520528795
Millepora_tenera	Anthoathecata	Mt	MT003	5.2	2.711	-15.71052262	23.08821374	197661538.5	66461538.46	471.2661538	82.11384615	136.7153846	0.290102278	114827.3617	1.323076923	0	1.510554661
Millepora_tenera	Anthoathecata	Mt	MT004	6.7	2.635	-18.26710347	14.59606754	2.36e+08	49428571.43	1657.344643	513.1357143	362.5410714	0.218748148	161506.772	0.767857143	0	1.331781043
Millepora_tenera	Anthoathecata	Mt	MT006	11	2.380445972	-13.83129441	30.86021692	130169491.5	24813559.32	866.7915254	387.8949153	208.4288136	0.240460142	205698.1986	1.728813559	0	1.85367303
Millepora_tenera	Anthoathecata	Mt	MT007	12.6	3.567	-15.76846438	13.13462578	137428571.4	28285714.29	860.1339286	305.9410714	213.0767857	0.247725126	239768.473	1.964285714	0	1.839385958
Millepora_tenera	Anthoathecata	Mt	MT008	14.6	3.394	-16.36284955	14.89489795	295272727.3	30060606.06	945.9939394	254.6030303	206.6060606	0.21840104	266019.8677	1.060606061	0	1.494477161
Millepora_tenera	Anthoathecata	Mt	MT009	13.4	1.465358798	-19.36761669	21.37017643	119400000	2.1e+07	656.6466667	180.6216667	219.0766667	0.333629451	250856.9903	1.716666667	0	1.707021865
Millepora_tenera	Anthoathecata	Mt	MT010	13	3.082	-16.54130709	8.594875498	217967213.1	44852459.02	996.6672131	257.7967213	238.8606557	0.239659389	263839.5466	1.393442623	0	1.812138066
Heliopora_coerulea	Helioporacea	Hc	HC001	6	2.235	-18.09210789	6.710572214	215200000	330285714.3	2208.414286	0	688.7628571	0.311881182	101048.5969	1.942857143	0	3.321322907
Heliopora_coerulea	Helioporacea	Hc	HC002	5.2	2.588	-16.72375142	7.354689979	109960784.3	157882352.9	1597.819608	0	569.1764706	0.356220732	25418.95443	0.68627451	0	0.925152222
Heliopora_coerulea	Helioporacea	Hc	HC003	6.7	2.678	-17.59355209	7.485035961	75744680.85	166468085.1	1705.414894	0	618.2914894	0.362546083	29039.76888	1.361702128	0	1.436865096
Heliopora_coerulea	Helioporacea	Hc	HC004	6.6	3.212	-16.20009391	7.837160147	125600000	147400000	1314.778333	31.11	430.4716667	0.32741007	37453.15596	1.033333333	0	1.046294458
Heliopora_coerulea	Helioporacea	Hc	HC005	6	2.828	-16.03698102	8.178141951	123489361.7	148595744.7	1045.317021	38.63404255	290.4106383	0.277820635	44838.12383	1.936170213	0	1.32662405
Heliopora_coerulea	Helioporacea	Hc	HC006	13.4	4.46	-17.57564307	8.016200903	355846153.8	62307692.31	1129.636538	355.9846154	303.7326923	0.268876477	274122.7205	1.75	0	1.856688781
Heliopora_coerulea	Helioporacea	Hc	HC007	13.4	5.133	-19.84313192	4.660230476	463836734.7	67102040.82	1917.771429	1350.516327	299.7673469	0.156310258	222502.1629	1.163265306	0	1.782087757
Heliopora_coerulea	Helioporacea	Hc	HC008	13.7	3.781	-17.31567221	7.858478948	398545454.5	106666666.7	2828.066667	484.4242424	360.5636364	0.127494744	307850.2586	3.545454545	0	1.402113044
Heliopora_coerulea	Helioporacea	Hc	HC009	18.1	4.402	-19.23385587	9.283000619	367272727.3	50181818.18	1157.043182	446.1772727	330.9295455	0.286013133	325240.8539	2.113636364	0	1.548428395
Heliopora_coerulea	Helioporacea	Hc	HC010	11.1	3.817	-16.83501364	7.767289733	422400000	78933333.33	2636.793333	1139.133333	576.6866667	0.218707572	207555.6963	0.733333333	0	1.540295733
Pocillopora_spp	Scleractinia	Po	PO001	5.9	3.744	-18.83686709	7.119677263	390800000	115200000	308.835	42.5625	140.93	0.456327813	238417.4586	0.725	0	2.467605122
Pocillopora_spp	Scleractinia	Po	PO002	6.4	3.805	-17.23455503	7.706139024	567727272.7	283409090.9	1081.235227	403.7352273	192.0806818	0.177649301	234320.0969	0.534090909	0	1.918294756
Pocillopora_spp	Scleractinia	Po	PO003	6.8	3.455	-17.54878834	7.220439196	451898734.2	272911392.4	211.2316456	2.398734177	77.72025316	0.367938492	270249.5584	2.025316456	0	1.949353927
Pocillopora_spp	Scleractinia	Po	PO004	7.5	4.332	-17.7607074	8.864636682	348536585.4	138292682.9	182.3719512	25.56219512	61.13292683	0.335210137	228051.5761	0.5	0	2.078507181
Pocillopora_spp	Scleractinia	Po	PO005	7.2	4.336	-17.25279047	8.998168739	623396226.4	377207547.2	614.5773585	162.3169811	151.509434	0.246526221	390815.7941	1.075471698	0	2.149010465
Pocillopora_spp	Scleractinia	Po	PO006	6.7	4.762	-17.2982851	7.882607333	634520547.9	200547945.2	420.0041096	29.96438356	126.4534247	0.301076637	306742.5183	0.794520548	0	2.316592265
Pocillopora_spp	Scleractinia	Po	PO007	6.2	4.557	-18.0434392	8.434481438	706060606.1	260606060.6	299.1545455	7.231818182	94.40909091	0.315586349	317404.8845	0.878787879	0	2.294942898
Pocillopora_spp	Scleractinia	Po	PO008	4.8	3.889	-17.53899472	7.394909337	637142857.1	294285714.3	533.9238095	56.71547619	197.2404762	0.369416896	274497.9804	0.345238095	0	2.434234599
Pocillopora_spp	Scleractinia	Po	PO009	5.8	4.329	-18.01950229	7.706655164	684590163.9	399737704.9	197.9508197	2.368852459	54.19344262	0.273772257	261192.8941	1.278688525	0	2.14081594
Pocillopora_spp	Scleractinia	Po	PO010	6	4.122	-18.06023653	7.541896198	388947368.4	173157894.7	183.3236842	25.00921053	77.38947368	0.42214662	286436.202	0.5	0	1.90080819
Psammocora_profundacella	Scleractinia	Ps	PS001	5.9	3.435	-15.86761194	6.352917216	269411764.7	75294117.65	762.0196078	247.2823529	160.2470588	0.210292566	155827.9147	1.470588235	0	1.445792797
Psammocora_profundacella	Scleractinia	Ps	PS004	6.2	3.983	-17.61849977	5.540896718	141960784.3	24313725.49	1690.358824	408.1215686	259.9352941	0.153775217	62236.2133	1.058823529	0	1.372515608
Psammocora_profundacella	Scleractinia	Ps	PS009	5.4	3.746	-15.90672026	5.711957928	559609756.1	54439024.39	2252.17561	351.2512195	701.995122	0.311696441	244892.7829	1.902439024	0	1.66871134
